# Variant ID	Location	Variant type	Gene	Molecular consequences	Most 
rs761448939	943995	single nucleotide variant	NOC2L and 5 more	,missense variant,nonsense (stop gained),500B downstream variant,	pathogenic				
rs7417106	976215	single nucleotide variant	PLEKHN1 and 7 more	,missense variant,500B downstream variant,	pathogenic	A=0.289736		A=0.228846	
rs786201005	1014143	single nucleotide variant	ISG15 and 1 more	,nonsense (stop gained)	pathogenic				25307056
rs587777299	1041582	single nucleotide variant	AGRN and 1 more	,nonsense (stop gained),,	pathogenic				22205389
rs1377283211	1041975	single nucleotide variant	AGRN and 2 more	,nonsense (stop gained),5 prime UTR variant,synonymous variant,,	pathogenic				
rs1239736447	1042053	single nucleotide variant	AGRN and 2 more	,nonsense (stop gained),5 prime UTR variant,synonymous variant,,	pathogenic				
rs1557702487	1042101	single nucleotide variant	AGRN and 1 more	,nonsense (stop gained),5 prime UTR variant,,	pathogenic				
rs200373411	1043197	single nucleotide variant	AGRN and 3 more	intron variant	pathogenic	C=0.00179712		C=0.000296454	
rs1333143280	1043668	single nucleotide variant	AGRN and 2 more	,nonsense (stop gained),5 prime UTR variant,synonymous variant	pathogenic				
rs199801106	1044111	single nucleotide variant	AGRN and 2 more	,missense variant,nonsense (stop gained)	pathogenic	A=0.000399361		A=0.000125567	
rs1645065317	1045487	single nucleotide variant	AGRN and 2 more	,missense variant,nonsense (stop gained)	pathogenic				
rs2100666336	1047868	single nucleotide variant	AGRN and 1 more	,nonsense (stop gained)	pathogenic				
rs1410313655	1049326	single nucleotide variant	AGRN and 1 more	,nonsense (stop gained)	pathogenic				
rs1367262797	1049795	single nucleotide variant	AGRN and 1 more	,missense variant	pathogenic				
rs199476396	1050575	single nucleotide variant	AGRN and 2 more	,missense variant	pathogenic				19631309
rs587777075	1213738	single nucleotide variant	TNFRSF4 and 2 more	,missense variant,nc transcript variant,5 prime UTR variant,,	pathogenic			A=3.47439e-05	23897980
